asn,subnet
AS150436,101.47.142.0/24
AS150436,101.47.162.0/24
AS150436,101.47.49.0/24
AS150436,101.47.140.0/24
AS150436,150.5.169.0/24
AS150436,101.47.51.0/24
AS150436,150.5.128.0/24
AS150436,69.5.20.0/24
AS150436,45.78.202.0/24
AS150436,101.47.13.0/24
AS150436,101.47.141.0/24
AS150436,101.47.161.0/24
AS150436,163.7.9.0/24
AS150436,45.78.207.0/24
AS150436,45.78.194.0/24
AS150436,163.7.8.0/24
AS150436,45.78.230.0/24
AS23969,180.180.146.0/24
AS23969,182.52.109.0/24
AS23969,182.52.236.0/24
AS23969,101.51.52.0/24
AS24440,139.135.59.0/24
AS24440,139.135.40.0/24
AS24440,101.53.236.0/24
AS4538,101.76.248.0/24
AS37693,102.110.11.0/24
AS328320,102.128.88.0/24
AS327991,102.129.62.0/24
AS327991,102.129.53.0/24
AS327991,102.64.41.0/24
AS327991,102.64.34.0/24
AS327991,102.129.51.0/24
AS327991,102.129.50.0/24
AS327991,102.64.40.0/24
AS327991,102.64.43.0/24
AS327991,102.64.39.0/24
AS327991,102.129.60.0/24
AS327991,102.64.36.0/24
AS327991,102.64.44.0/24
AS327991,102.64.46.0/24
AS327991,102.64.32.0/24
AS327991,102.64.47.0/24
AS327991,102.64.38.0/24
AS327991,102.129.54.0/24
AS327991,102.129.56.0/24
AS327991,102.64.33.0/24
AS327991,102.129.55.0/24
AS327991,102.129.59.0/24
AS327991,102.64.35.0/24
AS327991,102.129.61.0/24
AS327991,102.129.52.0/24
AS327991,102.129.57.0/24
AS327991,102.64.42.0/24
AS30988,102.140.97.0/24
AS174,102.165.48.0/24
AS174,154.16.49.0/24
AS329473,102.208.34.0/24
AS328847,102.210.148.0/24
AS328847,102.210.149.0/24
AS37517,102.211.11.0/24
AS328611,102.211.7.0/24
AS328939,102.218.89.0/24
AS328646,102.23.122.0/24
AS327782,102.33.36.0/24
AS327782,196.50.199.0/24
AS328539,102.38.3.0/24
AS36903,41.251.50.0/24
AS36903,196.206.73.0/24
AS36903,41.142.64.0/24
AS36903,154.144.243.0/24
AS36903,160.179.76.0/24
AS36903,105.158.50.0/24
AS36903,154.144.225.0/24
AS36903,154.146.240.0/24
AS36903,160.177.168.0/24
AS36903,102.53.15.0/24
AS36903,160.178.229.0/24
AS36903,154.144.253.0/24
AS36903,41.140.119.0/24
AS36903,196.217.97.0/24
AS36903,160.177.77.0/24
AS36903,102.54.243.0/24
AS36903,41.140.100.0/24
AS36903,196.206.88.0/24
AS36903,160.174.129.0/24
AS36903,196.92.7.0/24
AS328465,102.69.239.0/24
AS29465,102.88.55.0/24
AS29465,102.90.34.0/24
AS29465,102.88.137.0/24
AS29465,102.91.92.0/24
AS36925,102.98.25.0/24
AS10099,103.1.64.0/24
AS45650,103.10.28.0/24
AS133115,103.100.209.0/24
AS133115,39.109.104.0/24
AS136672,103.102.73.0/24
AS40065,154.198.215.0/24
AS40065,103.103.245.0/24
AS135863,103.103.53.0/24
AS135225,103.104.127.0/24
AS151983,103.104.87.0/24
AS136780,103.105.172.0/24
AS137097,103.105.176.0/24
AS137899,154.222.24.0/24
AS137899,154.201.87.0/24
AS137899,154.222.30.0/24
AS137899,103.106.188.0/24
AS134319,103.206.131.0/24
AS134319,103.178.76.0/24
AS134319,103.106.194.0/24
AS137151,103.107.60.0/24
AS150855,103.109.187.0/24
AS134877,103.110.237.0/24
AS215305,103.112.68.0/24
AS134316,103.113.104.0/24
AS137905,103.114.146.0/24
AS137905,103.114.147.0/24
AS152605,103.115.199.0/24
AS137868,103.115.252.0/24
AS140096,103.116.75.0/24
AS56309,103.117.148.0/24
AS136052,103.193.178.0/24
AS136052,103.52.114.0/24
AS136052,157.10.252.0/24
AS136052,103.217.145.0/24
AS136052,103.82.92.0/24
AS136052,103.59.95.0/24
AS136052,157.10.160.0/24
AS136052,103.49.238.0/24
AS136052,210.79.190.0/24
AS136052,103.117.57.0/24
AS136052,157.10.161.0/24
