ip_range,ip_count
152.32.140.0/24,6
103.196.132.0/24,3
161.97.73.0/24,2
161.248.201.0/24,4
130.162.132.0/24,2
185.213.175.0/24,8
127.0.0.0/24,1
157.245.13.0/24,2
109.244.69.0/24,2
183.91.11.0/24,2
165.154.22.0/24,12
101.47.50.0/24,23
45.39.12.0/24,4
103.52.115.0/24,5
115.191.22.0/24,3
72.56.85.0/24,2
209.208.221.0/24,2
101.47.140.0/24,29
162.248.100.0/24,1
49.207.244.0/24,1
116.110.150.0/24,5
118.193.33.0/24,15
123.48.142.0/24,2
164.92.215.0/24,6
188.149.149.0/24,1
211.213.96.0/24,5
112.120.171.0/24,2
103.82.37.0/24,4
178.62.42.0/24,2
103.115.41.0/24,2
152.32.191.0/24,4
121.165.204.0/24,2
113.193.234.0/24,2
209.38.90.0/24,7
107.150.103.0/24,14
93.123.109.0/24,62
160.191.244.0/24,2
222.119.187.0/24,2
104.223.21.0/24,3
201.186.40.0/24,3
171.244.61.0/24,5
134.199.172.0/24,12
206.189.102.0/24,2
190.221.50.0/24,2
152.32.206.0/24,15
119.203.251.0/24,2
170.64.226.0/24,3
118.193.36.0/24,12
143.110.187.0/24,9
103.13.206.0/24,14
152.32.188.0/24,4
103.143.231.0/24,3
104.244.74.0/24,6
198.74.57.0/24,12
187.51.208.0/24,2
36.71.188.0/24,1
46.101.87.0/24,2
106.51.92.0/24,2
190.119.198.0/24,2
192.227.229.0/24,3
103.139.192.0/24,5
103.163.116.0/24,2
68.183.82.0/24,6
83.235.16.0/24,2
134.209.144.0/24,2
103.183.74.0/24,9
89.168.53.0/24,1
154.90.54.0/24,2
1.55.33.0/24,2
116.176.58.0/24,5
223.17.5.0/24,2
167.71.232.0/24,3
43.160.200.0/24,3
218.157.205.0/24,2
178.128.117.0/24,4
49.0.200.0/24,2
201.245.201.0/24,2
5.37.170.0/24,2
45.93.30.0/24,3
46.101.230.0/24,2
103.237.144.0/24,2
104.237.150.0/24,5
128.199.129.0/24,2
104.131.89.0/24,1
200.39.46.0/24,2
118.99.115.0/24,1
107.172.235.0/24,5
157.10.160.0/24,5
106.227.33.0/24,2
104.23.221.0/24,2
115.190.188.0/24,2
34.91.248.0/24,2
132.145.213.0/24,2
134.209.197.0/24,4
159.65.155.0/24,5
27.111.32.0/24,2
57.129.5.0/24,1
188.37.194.0/24,2
118.182.166.0/24,2
5.180.25.0/24,1
34.78.29.0/24,2
167.99.210.0/24,2
101.47.141.0/24,21
182.253.156.0/24,3
192.99.169.0/24,2
92.119.126.0/24,1
157.245.104.0/24,1
36.64.190.0/24,2
202.79.29.0/24,2
14.63.198.0/24,2
173.249.52.0/24,2
118.114.15.0/24,2
60.188.243.0/24,2
172.70.130.0/24,4
51.15.145.0/24,1
172.71.190.0/24,1
64.89.161.0/24,8
118.26.36.0/24,8
178.62.15.0/24,1
120.52.12.0/24,2
67.205.181.0/24,2
154.91.81.0/24,1
159.223.197.0/24,2
162.158.158.0/24,1
119.192.36.0/24,1
134.122.101.0/24,2
167.71.231.0/24,1
43.128.81.0/24,2
41.82.42.0/24,2
49.72.111.0/24,3
152.250.243.0/24,2
52.237.80.0/24,2
159.223.229.0/24,2
209.38.81.0/24,5
170.64.155.0/24,1
43.162.97.0/24,2
159.65.95.0/24,3
197.5.145.0/24,10
139.59.33.0/24,3
106.251.244.0/24,2
152.42.203.0/24,2
152.32.186.0/24,4
121.224.5.0/24,2
165.232.179.0/24,8
162.243.88.0/24,1
222.110.147.0/24,3
209.38.95.0/24,9
209.97.142.0/24,1
45.129.185.0/24,2
131.255.240.0/24,3
213.112.126.0/24,3
82.153.157.0/24,4
152.228.131.0/24,2
64.23.237.0/24,1
139.59.40.0/24,6
20.49.0.0/24,2
120.193.9.0/24,4
178.185.136.0/24,2
103.160.213.0/24,2
116.193.191.0/24,12
14.103.127.0/24,22
165.22.53.0/24,2
139.59.183.0/24,4
103.193.176.0/24,2
139.59.89.0/24,7
143.110.186.0/24,4
203.150.107.0/24,2
179.32.33.0/24,2
134.199.161.0/24,8
134.209.18.0/24,1
152.32.163.0/24,2
172.237.38.0/24,10
24.199.125.0/24,1
134.199.175.0/24,5
136.248.247.0/24,2
138.197.172.0/24,1
186.115.118.0/24,1
118.127.40.0/24,2
161.35.8.0/24,3
171.243.148.0/24,8
172.236.188.0/24,3
220.118.173.0/24,2
196.92.7.0/24,5
103.192.39.0/24,2
170.64.151.0/24,2
45.249.247.0/24,5
107.170.65.0/24,3
43.157.202.0/24,2
54.39.20.0/24,2
216.189.157.0/24,2
178.128.167.0/24,2
101.36.107.0/24,7
106.12.241.0/24,2
160.251.169.0/24,2
171.244.37.0/24,6
103.140.127.0/24,2
